"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32816","D_15: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu đã chọn Phim và Rạp","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","5620","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","chromium","2026-09-20","passed","2026-09-20","","ui\register.spec.ts","",""
"","6035","D_18: Click nút 'Mua vé ngay' khi chỉ chọn Phim","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_36: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","webkit","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","40010","D_27: Kiểm tra giao diện trên màn hình desktop","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","9723","D_16: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu khi chỉ chọn Phim","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","40038","D_09: Kiểm tra slider banner hiển thị hình ảnh","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > Banner","ui\dashboard\dashboard.spec.ts","",""
"","0","D_26: Kiểm tra click vào hình poster hoặc nút 'Mua vé' trên thẻ phim","webkit","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","9375","D_10: Kiểm tra dropdown Phim hiển thị danh sách phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","1","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","4832","D_05: Kiểm tra điều hướng đến trang Tin Tức","firefox","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","12881","D_10: Kiểm tra dropdown Phim hiển thị danh sách phim","chromium","2026-09-20","failed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","19929","D_16: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu khi chỉ chọn Phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","firefox","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","Verify register function with POM(Page Object Model)","firefox","2026-09-20","skipped","2026-09-20","","ui\register.spec.ts","",""
"","1","D_35: Kiểm tra chức năng Quên mật khẩu","chromium","2026-09-20","skipped","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","7253","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","7680","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","17568","D_10: Kiểm tra dropdown Phim hiển thị danh sách phim","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","chromium","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","0","I_01: Kiểm tra chức năng Quên mật khẩu","chromium","2026-09-20","skipped","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","13632","D_15: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu đã chọn Phim và Rạp","chromium","2026-09-20","failed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","12891","D_03: Kiểm tra điều hướng đến trang Lịch Chiếu","firefox","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_36: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","firefox","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","5113","D_17: Click nút 'Mua vé ngay' khi chưa chọn Phim + Rạp + Ngày giờ chiếu","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_37: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","12817","D_25: Hiển thị nút 'Play' và 'Mua vé' khi rê chuột","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
